S/N,date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location
205,14/09/26,lekki-epe expy,lekkiphase1-ajah,08:09:00,08:00:00,Friday,partly sunny,26,0.1,low,1,G/Y/R,road segment
206,14/09/26,lagos-badagry expy,mile2-festac,08:09:00,08:00:00,Friday,partly sunny,26,0.1,low,1,G/Y/R,road segment
207,14/09/26,apapa-oshodi expy,mile2-oshodi,08:10:00,08:00:00,Friday,partly sunny,26,0.1,low,1,G,none evident
208,14/09/26,lagos-ibadan expy,ojota-berger,08:10:00,08:00:00,Friday,partly sunny,26,0.1,low,1,G,none evident
209,14/09/26,funsho williams avenue,unknown,09:02:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/R,mixed
210,14/09/26,Lagos-abeokuta,abule egba-iyana ipaja,09:03:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/Y/R,road segment
211,14/09/26,third mainland bridge,oworonshole – adekunle,09:03:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G,none evident
212,14/09/26,ikorodu road,unknown,09:04:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/Y/R,road segment
213,14/09/26,lekki-epe expy,lekkiphase1-ajah,09:04:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/Y,road segment
214,14/09/26,lagos-badagry expy,mile2-festac,09:05:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G,none evident
215,14/09/26,apapa-oshodi expy,mile2-oshodi,09:05:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/Y,junction
216,14/09/26,lagos-ibadan expy,ojota-berger,09:05:00,09:00:00,Friday,partly sunny,26,0.1,low,1,G/Y,junction
217,15/09/26,third mainland bridge,oworonshole – adekunle,07:18:00,07:00:00,Monday,,,,high,3,G/Y,road segment
218,15/09/26,ikorodu road,unknown,07:18:00,07:00:00,Monday,,,,medium,2,R,mixed
219,15/09/26,lekki-epe expy,lekkiphase1-ajah,07:19:00,07:00:00,Monday,,,,low,1,G/Y/R,road segment
220,15/09/26,lagos-badagry expy,mile2-festac,07:19:00,07:00:00,Monday,,,,low,1,G/Y/R,road segment
221,15/09/26,apapa-oshodi expy,mile2-oshodi,07:19:00,07:00:00,Monday,,,,low,1,G,none evident
222,15/09/26,funsho williams avenue,unknown,07:20:00,07:00:00,Monday,,,,low,1,G/Y/R,road segment
223,15/09/26,Lagos-abeokuta,abule egba-iyana ipaja,07:20:00,07:00:00,Monday,,,,medium,2,Y/R,mixed
224,15/09/26,lagos-ibadan expy,ojota-berger,07:21:00,07:00:00,Monday,,,,low,1,G,none evident
225,15/09/26,third mainland bridge,oworonshole – adekunle,08:00:00,08:00:00,Monday,,,,high,3,G/Y/R,road segment
226,15/09/26,ikorodu road,unknown,08:00:00,08:00:00,Monday,,,,medium,2,Y/R,mixed
227,15/09/26,lekki-epe expy,lekkiphase1-ajah,08:00:00,08:00:00,Monday,,,,low,1,G/Y/R,road segment
228,15/09/26,lagos-badagry expy,mile2-festac,08:01:00,08:00:00,Monday,,,,medium,2,G/Y/R,mixed
229,15/09/26,apapa-oshodi expy,mile2-oshodi,08:01:00,08:00:00,Monday,,,,low,1,G/Y,road segment
230,15/09/26,funsho williams avenue,unknown,08:02:00,08:00:00,Monday,,,,low,1,G/Y/R,mixed
231,15/09/26,Lagos-abeokuta,abule egba-iyana ipaja,08:02:00,08:00:00,Monday,,,,low,1,G/Y/R,road segment
232,15/09/26,lagos-ibadan expy,ojota-berger,08:02:00,08:00:00,Monday,,,,low,1,G/Y,road segment
233,15/09/26,lekki-epe expy,lekkiphase1-ajah,16:17:00,16:00:00,Monday,cloudy,29,0.2,medium,2,G/Y/R,road segment
234,15/09/26,lagos-badagry expy,mile2-festac,16:18:00,16:00:00,Monday,cloudy,29,0.2,low,1,G/Y,road segment
235,15/09/26,apapa-oshodi expy,mile2-oshodi,16:18:00,16:00:00,Monday,cloudy,29,0.2,low,1,G,none evident
236,15/09/26,funsho williams avenue,unknown,16:19:00,16:00:00,Monday,cloudy,29,0.2,low,1,G/Y,road segment
237,15/09/26,Lagos-abeokuta,abule egba-iyana ipaja,16:19:00,16:00:00,Monday,cloudy,29,0.2,low,1,G/Y/R,mixed
238,15/09/26,lagos-ibadan expy,ojota-berger,16:20:00,16:00:00,Monday,cloudy,29,0.2,low,1,G,none evident
239,15/09/26,third mainland bridge,oworonshole – adekunle,16:20:00,16:00:00,Monday,cloudy,29,0.2,low,1,G/Y,road segment
240,15/09/26,ikorodu road,unknown,16:20:00,16:00:00,Monday,cloudy,29,0.2,low,1,G/Y/R,road segment
241,15/09/26,lekki-epe expy,lekkiphase1-ajah,17:21:00,17:00:00,Monday,cloudy,29,0.3,medium,2,G/Y/R,mixed
242,15/09/26,lagos-badagry expy,mile2-festac,17:22:00,17:00:00,Monday,cloudy,29,0.3,low,1,G/Y/R,mixed
243,15/09/26,apapa-oshodi expy,mile2-oshodi,17:22:00,17:00:00,Monday,cloudy,29,0.3,low,1,G/Y/R,junction
244,15/09/26,funsho williams avenue,unknown,17:23:00,17:00:00,Monday,cloudy,29,0.3,high,3,Y/R,mixed
245,15/09/26,Lagos-abeokuta,abule egba-iyana ipaja,17:23:00,17:00:00,Monday,cloudy,29,0.3,high,3,Y/R,mixed
246,15/09/26,lagos-ibadan expy,ojota-berger,17:23:00,17:00:00,Monday,cloudy,29,0.3,low,1,G/Y/R,road segment
247,15/09/26,third mainland bridge,oworonshole – adekunle,17:25:00,17:00:00,Monday,cloudy,29,0.3,medium,2,Y/R,road segment
248,15/09/26,ikorodu road,unknown,17:26:00,17:00:00,Monday,cloudy,29,0.3,medium,2,G/Y/R,junction
